condition,task_id,task_name,category,input_type,output_type,parse_transition,score_transition,path_transition,fp16_parse,candidate_parse,fp16_score,candidate_score,score_delta,fp16_path_score,candidate_path_score,path_delta,fp16_stop_reason,candidate_stop_reason,fp16_generated_tokens,candidate_generated_tokens,automatic_failure_type,automatic_failure_detail,payload_preview,manual_failure_type,manual_notes
KIVI-4,100539,TOML to JSON,T-conversion,TOML,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,561,568,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n{\\n  ""space_station"": {\\n    ""name"": ""Celestial Haven\"",\n    "",\n    ""operational_since"": 2087,\\n    ""is_docked"": true,\\n    ""location"": {\\n      ""planet"": ""Europa\"",\n      "",\n      ""coordinates"": {\\n        ""latitude"": 12.3456,\\n        ""longitude"": 78.9101\\n      }\\n    },\\n    ""crew_members"": [{\\n      ""name"": ""Dr. Lira Moonsong\"",\n      "",\n      ""role"": ""Commander\"",\n      "",\n      ""species"": ""Human""\\n    }, {\\n      ""name"": ""Xel'Rath\"",\n      "",\n      ""role"": ""Engineer\"",\n      "",\n  ",,
KIVI-4,100540,TOML to JSON,T-conversion,TOML,JSON,fp16_only,regressed,unchanged,1,0,0.2,0.0,-0.2,0.0,0.0,0.0,end_code,end_code,535,559,invalid_leading_token,Expecting value: line 1 column 1 (char 0),"\\n{\n\t""name"": ""Stellar Menagerie"",\n\t""opening_year"": 3045,\n\t""curator"": ""Dr. Zynox Quark"",\n\t""\n\tlocation"": {\n\t\t""planet"": ""Nebulon-5"",\n\t\t""sector"": ""Gamma Quadrant""\n\t},\n\n\t""species_list"": [\n\t\t{\n\t\t\t""name"": ""Solarian Panther"",\n\t\t\t""origin"": ""Helios Cluster"",\n\t\t\t""diet"": ""Photonivore"",\n\t\t\t""enclosure"": {\n\t\t\t\t""id"": 101,\n\t\t\t\t""habitat_type"": ""Radiant Savannah""\n\t\t\t}\n\t\t},\n\t\t{\n\t\t\t""name"": ""Cryo Marmoset"",\n\t\t\t""origin"": ""Frostbelt"",\n\t\t\t""diet"": ""C",,
KIVI-4,021802,CSV to YAML,T-conversion,CSV,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,255,271,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 12:     Museum_Name: Museum of Imaginary History\                ^",\\nMuseum_Name: Museum of Imaginary History\\nLocation:\\n  City: Wonderville\\n  Country: Fantasia\\nEstablished_Year: 1899\\nCurators:\\n  - name: Dr. Luna Sparks\\n    specialty: Ancient Robotics\\n    years_experience: 12\\n  - name: Prof. Orion Vale\\n    specialty: Time Travel Artifacts\\n    years_experience: 8\\nExhibits:\\n  - title: Clockwork Pharaoh\\n    year: 1923\\n    artifacts:\\n      - Gears\\n      - Golden Mask\\n      - Sand Vial\\n  - title: The Lost Symphony\\n    year: 2001\\n    artifacts:\\n ,,
KIVI-4,021805,CSV to YAML,T-conversion,CSV,YAML,fp16_only,regressed,unchanged,1,0,0.2,0.0,-0.2,0.0,0.0,0.0,end_code,end_code,260,233,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 12:     planet_name: Gliese 581g                ^",\\nplanet_name: Gliese 581g\nsystem:\n star_name: Gliese 581\n star_type: Red Dwarf\n distance_from_earth: 20.3\ndiscovery:\n year: 2010\n method: Radial Velocity\n team:\n - name: Dr. L. Vogt\n role: Lead Scientist\n - name: Dr. S. Butler\n role: Data Analyst\nmoons:\n - moon_name: Zarmina\n diameter_km: 3500\n - moon_name: Phobos\n diameter_km: 2200\natmosphere:\n composition:\n - Nitrogen\n - Oxygen\n pressure_atm: 1.2\nsurface:\n temperature_C: -37\n has_water: Yes\n landmarks:\n - Crater Lake\n - The Great Ridge\nnotes:,,
KIVI-4,021822,CSV to YAML,T-conversion,CSV,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,196,220,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 10:     spaceship: \              ^",\\nspaceship: \\n  name: SS-Enterprise \\n  model: Nebula-X \\n  crew: \\n    captain: Jane Starfield \\n    first_officer: Max Quasar \\n    engineers: \\n      - name: Elon Plasma \\n        specialty: Astrophysics \\n      - name: Ada Ion \\n        specialty: Quantum Drives \\n  missions: \\n    - mission_name: Europa Survey \\n      destination: Europa \\n      success: true \\n    - mission_name: Saturn Rings \\n      destination: Saturn \\n      success: false \\n  specs: \\n    length_m: 120 \\n    mass_tons,,
KIVI-4,021823,CSV to YAML,T-conversion,CSV,YAML,fp16_only,regressed,regressed,1,0,0.75,0.0,-0.75,0.6923076923076923,0.0,-0.6923076923076923,end_code,end_code,375,336,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 9:     - galaxy:             ^",\\n- galaxy:\n  name: Andromeda\n  type: Spiral\n  distance_mly: 2.537\n  constellation: Andromeda\n  discovery:\n    year: 964\n    method: Optical\n  observatories:\n  - Hubble\n  - Spitzer\n  notable_features:\n    black_hole_mass_solar: 1.4e8\n    star_clusters: Globular\n    satellite_galaxies:\n    - name: M32\n      distance_kly: 2.65\n    - name: M110\n      distance_kly: 2.91\n :\n- galaxy:\n    name: Sombrero\n    type: Spiral\n    distance_mly: 31.1\n    constellation: Virgo\n    discovery:\n      year: 1781\n  ,,
KIVI-4,021840,CSV to YAML,T-conversion,CSV,YAML,fp16_only,regressed,unchanged,1,0,0.2,0.0,-0.2,0.0,0.0,0.0,end_code,end_code,382,386,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 7:     - name: Aurelia           ^",\\n- name: Aurelia\n  orbital_data:\n    semi_major_axis: 1.2\n    eccentricity: 0.05\n    inclination: 3.2\n  atmosphere:\n    composition:\n      - gas: Nitrogen\n        percentage: 78\n      - gas: Oxygen\n        percentage: 21\n    pressure: 1.0\n  moons:\n    - name: Titania\n      diameter_km: 1577\n      discovery:\n        year: 1787\n    - name: Oberon\n      diameter_km: 1523\n      discovery:\n        year: 1787\n  surface:\n    temperature_mean_c: 14.5\n    has_liquid_water: TRUE\n :\n- name: Borealis\n  orb,,
KIVI-4,101818,TOML to YAML,T-conversion,TOML,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,221,245,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 7:     planet:           ^","\\nplanet:\n name: ""Zyphora""\n discovery_year: 2347\n moons:\n - Lunara\n - Ecliptix\n - Thalos\n atmosphere:\n composition:\n - argon\n - xenon\n - neon\n pressure: 0.7\n missions:\n - name: ""Voyager Omega""\n year: 2350\n success: true\n crew:\n - name: ""Dr. Nira Voss""\n role: ""Commander""\n - name: ""Eli Morn""\n role: ""Engineer""\n - name: ""Zara Trent""\n role: ""Scientist"" # New crew member added\n\n - name: ""Stellar Quest""\n year: 2355\n success: false\n crew:\n - name: ""Ravi Kint""\n role: ""Pilot""",,
KIVI-4,101820,TOML to YAML,T-conversion,TOML,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,231,223,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 10:     spaceship:              ^",\\nspaceship:\n name: Nebula Voyager\n model: XK-9000\n crew:\n - name: Lira Zen\n role: captain\n - name: Mako Trent\n role: first_officer\n specialists:\n - name: Quill\n role: Astro-Navigator\n - name: Pax\n role: Quantum Engineer\n specs:\n length_m: 120.5\n mass_tons: 3400\n engines:\n type: Graviton Pulse\n count: 4\n cargo:\n - item: Plasma Cells\n quantity: 150\n - item: Terraforming Seeds\n quantity: 80\n missions:\n - destination: Proxima Centauri b\n year: 2321\n success: true\n - destination: Kepler-442b\n year: ,,
KIVI-4,101827,TOML to YAML,T-conversion,TOML,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,233,206,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 10:     spaceship:              ^",\\nspaceship:\n name: Nebula Voyager\n model: NVX-2024\n  crew:\n   captain: Juno Starling\n   first_officer: Milo Quark\n   engineers:\n    - name: Ari Vega\n      specialty: Warp Core\n    - name: Rin Kestrel\n      specialty: Life Support\n  missions:\n  - destination: Proxima Centauri\n    year: 2124\n    success: true\n  - destination: TRAPPIST-1e\n    year: 2126\n    success: false\n specs:\n  length_meters: 120.5\n  mass_tons: 3200\n  propulsion:\n    type: Fusion Drive\n    thrust_kn: 9500,,
KIVI-4,101829,TOML to YAML,T-conversion,TOML,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,359,348,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 18:     galactic_festival:                      ^","\\ngalactic_festival:\n name: ""Nebula Harmony""\n year: 3057\n\n location:\n planet: ""Zyphora Prime""\n city: ""Luminara""\n\n dates:\n start: ""3057-07-12""\n end: ""3057-07-20""\n\n events:\n - title: ""Zero-Gravity Dance Off""\n type: ""Competition""\n participants:\n   - ""Team Orion""\n   - ""Stellar Movers""\n   - ""Gravity Rebels""\n\n - title: ""Alien Cuisine Showcase""\n type: ""Exhibition""\n participants:\n   - ""Chef Zarn""\n   - ""Chef Luma""\n\n - title: ""Quantum Light Parade""\n type: ""Parade""\n participants:\n   - ""Photon Riders""\n   - ",,
KIVI-4,101837,TOML to YAML,T-conversion,TOML,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,267,249,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 10:     spaceship:              ^","\\nspaceship:\n name: Celestial Wanderer\n model: XG-9000\n in_service: true\n crew:\n - role: captain\n name: Lira Solis\n - role: pilot\n name: Jax Vorn\n engineers:\n - name: Mira Tann\n rank: Chief Engineer\n - name: Oren Pike\n rank: Junior Engineer\n cargo:\n - type: Quantum Batteries\n weight_kg: 1200\n - type: Alien Artifacts\n weight_kg: 500\n missions:\n completed: 12\n failed: 1\n specs:\n length_m: 72.5\n mass_tonnes: 340.7\n hyperdrive_rating: 2.1\n logbook:\n - date: ""3024-03-14""\n event: Departed from Vega St",,
KIVI-4,101841,TOML to YAML,T-conversion,TOML,YAML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,269,248,indentation_or_mapping_syntax,"mapping values are not allowed here   in ""<unicode string>"", line 2, column 24:     galactic_rescue_mission:                            ^",\\ngalactic_rescue_mission:\n mission_name: Operation Nebula Dawn\n launch_date: '2125-04-17T09:00:00Z'\n\n crew:\n - name: Cmdr. Zora Lynx\n species: Human\n role: Mission Leader\n\n - name: Dr. Vex Tharn\n species: Andromedan\n role: Science Officer\n\n - name: R4X-9\n species: Synthetic\n role: Pilot\n\n ship:\n name: Starfire Eclipse\n type: Explorer-Class\n auxiliary_systems:\n - Cloaking Device\n - Quantum Drive\n\n destination:\n planet: Xyphos Prime\n coordinates:\n x: 4821.7\n y: -193.2\n z: 889.0\n\n objectives:\n - R,,
KIVI-2,000541,Text to JSON,T-generation,Text,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,597,476,unbalanced_or_mismatched_delimiter,"Expecting ',' delimiter: line 38 column 27 (char 843)","{\n  ""museum"": {\n    ""name"": ""Louvre Museum"",\n    ""city"": ""Paris"",\n    ""country"": ""France"",\n    ""established_year"": 1793,\n    ""director"": ""Jean-Luc Martinez"",\n    ""location"": {\n      ""city"": ""Paris"",\n      ""country"": ""France""\n    },\n    ""opening_hours"": {\n      ""weekdays"": ""10:00-17:45"",\n      ""weekends"": ""10:00-17:45""\n    }\n  },\n  ""exhibits"": [\n    {\n      ""title"": ""Mona Lisa"",\n      ""artist"": ""Leonardo da Vinci"",\n      ""year_created"": 1503,\n      ""medium"": ""oil on poplar panel"",\n      ""dimensio",,
KIVI-2,000542,Text to JSON,T-generation,Text,JSON,fp16_only,regressed,unchanged,1,0,0.2,0.0,-0.2,0.0,0.0,0.0,end_code,end_code,752,1372,unbalanced_or_mismatched_delimiter,"Expecting ',' delimiter: line 32 column 18 (char 873)","{\n  ""title"": ""Crispy Quinoa Tacos with Black Beans and Mango Salsa"",\n  ""cuisine"": ""Mexican"",\n  ""difficulty"": ""medium"",\n  ""prep_time_minutes"": 20,\n  ""cook_time_minutes"": 15,\n  ""recipe"": [\n    {\n      ""name"": ""Quinoa"",\n      ""quantity"": 1.5,\n      ""unit"": ""cups"",\n      ""instruction"": ""Rinse quinoa under cold water and cook according to package instructions."",\n      ""duration_minutes"": 15,\n      ""tools"": [""pot"", ""strainer""],\n      ""calories"": 222,\n      ""protein_grams"": 8,\n      ""carbs_grams"": 39,\n",,
KIVI-2,000544,Text to JSON,T-generation,Text,JSON,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,329,331,unbalanced_or_mismatched_delimiter,"Expecting ',' delimiter: line 26 column 29 (char 559)","{\n  ""planet"": {\n    ""name"": ""Gliese-581g"",\n    ""discovery"": {\n      ""year"": 2009,\n      ""method"": ""transit""\n    },\n    ""orbital_parameters"": {\n      ""semi_major_axis"": 0.0367,\n      ""eccentricity"": 0.55,\n      ""inclination"": 46.2\n    },\n    ""atmosphere"": {\n      ""composition"": {\n        ""primary_gas"": ""Hydrogen"",\n        ""trace_gases"": [""Methane"", ""Water vapor""]\n      },\n      ""pressure"": 1.5\n    },\n    ""moons"": [\n      {\n        ""name"": ""Moon_1"",\n        ""diameter_km"": 1270,\n        ""orbit"": {\n",,
KIVI-2,001007,Text to TOML,T-generation,Text,TOML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,344,326,invalid_key_syntax,"Invalid initial character for a key part (at line 1, column 10)","robot = {\n  model = ""PioneerDX101""\n  serial_number = ""1234567890""\n\n  manufacturer = {\n    name = ""Cyberbotics""\n    country = ""Switzerland""\n  }\n\n  operating_system = {\n    version = ""ROS:Noetic""\n    release_date = ""2020-10-01""\n  }\n\n  sensors = [\n    {\n      type = ""Lidar""\n      range_meters = 12.0\n      calibrated = true\n    },\n    {\n      type = ""Camera""\n      range_meters = 5.0\n      calibrated = false\n    }\n  ]\n\n  actuators = [\n    {\n      name = ""Gripper""\n      max_force_newtons = 5.0\n      s",,
KIVI-2,001009,Text to TOML,T-generation,Text,TOML,fp16_only,regressed,regressed,1,0,0.47,0.0,-0.47,0.3333333333333333,0.0,-0.3333333333333333,end_code,end_code,271,338,invalid_key_syntax,"Invalid initial character for a key part (at line 1, column 9)","star = {\n  name = ""HD-207147"",\n  type = ""G-type"",\n  distance_lightyears = 11.5,\n  discovery = {\n    year = 1985,\n    method = ""Optical telescope""\n  },\n  planets = [\n    {\n      name = ""Kepler-1b"",\n      mass_earths = 2.5,\n      orbital_period_days = 370,\n      atmosphere = {\n        composition = [""Nitrogen"", ""Oxygen"", ""Carbon Dioxide""],\n        pressure_atm = 1.5,\n        has_rings = false,\n        temperature_celsius = 450,\n        surface = {\n          temperature_celsius = 500\n        }\n    ",,
KIVI-2,001010,Text to TOML,T-generation,Text,TOML,fp16_only,regressed,regressed,1,0,0.5,0.0,-0.5,0.375,0.0,-0.375,end_code,end_code,696,578,invalid_key_syntax,"Invalid initial character for a key part (at line 1, column 11)","recipe = {\n  title = ""Spaghetti Bolognese""\n  author = ""John Doe""\n  cuisine = ""Italian""\n  difficulty = ""medium""\n\n  prep_time = { minutes = 15 }\n  cook_time = { minutes = 30 }\n\n  ingredients = [\n    {\n      name = ""Spaghetti""\n      quantity = 200\n      unit = ""grams""\n      optional = false\n    },\n    {\n      name = ""Ground Beef""\n      quantity = 400\n      unit = ""grams""\n      optional = false\n    },\n    {\n      name = ""Tomato Sauce""\n      quantity = 500\n      unit = ""milliliters""\n      optional = ",,
KIVI-2,001035,Text to TOML,T-generation,Text,TOML,fp16_only,regressed,regressed,1,0,1.0,0.0,-1.0,1.0,0.0,-1.0,end_code,end_code,269,264,invalid_key_syntax,"Invalid initial character for a key part (at line 1, column 14)","ecosystem = {\n name = ""The Crystal Forest"",\n location = {\n latitude = 32.1,\n longitude = -110.2,\n },\n climate = {\n type = ""Temperate"",\n average_temperature_c = 15.5,\n annual_rainfall_mm = 750,\n },\n species = [\n {\n Common_name = ""Crystal Bear"",\n Scientific_name = ""Ursus crystallinus"",\n Population_estimate = 500,\n Conservation_status = ""Endangered"",\n Notable_characteristics = [""Large crystals grow in its fur"", ""Omnivorous""],\n },\n {\n Common_name = ""Glowing Orchid"",\n Scientific_name = ""Phalaenopsis ",,
KIVI-2,001700,Text to XML,T-generation,Text,XML,fp16_only,regressed,regressed,1,0,0.63,0.0,-0.63,0.5333333333333333,0.0,-0.5333333333333333,end_code,eos,945,919,missing_end_marker,missing_end_marker,"<recipe xmlns=""http://www.example.com/recipe"">\n <title>Chocolate Chip Cookies</title>\n <author>\n <name>John Doe</name>\n <contact>\n <email>john.doe@example.com</email>\n </contact>\n </author>\n <ingredients>\n <ingredient>\n <name>All-purpose flour</name>\n <quantity>2</quantity>\n <unit>cups</unit>\n </ingredient>\n <ingredient>\n <name>Baking soda</name>\n <quantity>1</quantity>\n <unit>teaspoon</unit>\n </ingredient>\n <ingredient>\n <name>Salt</name>\n <quantity>1</quantity>\n <unit>teaspoon</unit>\n </ingred",,
KIVI-2,001709,Text to XML,T-generation,Text,XML,fp16_only,regressed,regressed,1,0,0.57,0.0,-0.57,0.4666666666666667,0.0,-0.4666666666666667,end_code,end_code,350,362,invalid_token,"not well-formed (invalid token): line 17, column 21","<creature key=""Frostbite_Dragon"">\n  <habitat>\n    <region>Arctic</region>\n    <climate>Extremely cold</climate>\n    <features>Ice caps, glaciers, frozen tundra</features>\n  </habitat>\n  <anatomy>\n    <limbs count=""4"">\n      <type>Legs</type>\n    </limbs>\n  </anatomy>\n  <anatomy>\n    <senses>\n      <ability name=""Infrared_Vision"">\n        <range>50_meters</range>\n      </ability>\n      <primary sense name=""Vision"" range=""10_meters""/>\n    </senses>\n  </anatomy>\n  <behavior>\n    <diet>Carnivore</di",,
